Search results:
    angular-google-plus git://github.com/mrzmyr/angular-google-plus.git
    angular-utf8-base64 git://github.com/stranger82/angular-utf8-base64.git
    angular-extend-promises https://bitbucket.org/lsystems/angular-extend-promises.git
    angular-validator git://github.com/kelp404/angular-validator.git
    angular-native-dragdrop git://github.com/ganarajpr/angular-dragdrop.git
    angular-track git://github.com/sourcegraph/track.git
    angular-pouchdb git://github.com/wspringer/angular-pouchdb.git
    angular-phonegap-ready git://github.com/btford/angular-phonegap-ready.git
    angular-growl-2 git://github.com/JanStevens/angular-growl-2.git
    angular-all-unstable git://github.com/lfryc/bower-angular-all-unstable.git
    angular-flash-messages git://github.com/gtramontina/angular-flash.git
    angular-file-dnd git://github.com/onemightyroar/angular-file-dnd.git
    angular-perfect-scrollbar git://github.com/itsdrewmiller/angular-perfect-scrollbar.git
    bc-angular-directives git://github.com/buttercoin/bc-angular-directives.git
    bc-angular-models git://github.com/buttercoin/bc-angular-models.git
    bc-angular-i18n git://github.com/buttercoin/bc-angular-i18n.git
    angular-faye git://github.com/teamon/angular-faye.git
    angular-router git://github.com/lordnox/bower-angular-router.git
    angular-validation git://github.com/huei90/angular-validation.git
    angular-bootstrap-affix git://github.com/maxisam/angular-bootstrap-affix.git
    angular-complete2 git://github.com/datapad/bower-angular-complete.git
    angular-kendo git://github.com/kendo-labs/angular-kendo.git
    bc-angular-notification git://github.com/buttercoin/bc-angular-notification.git
    angular-resource-master git://github.com/mgcrea/bower-angular-resource-master.git
    angular-disqus git://github.com/kirstein/angular-disqus.git
    angular-gantt git://github.com/Schweigi/angular-gantt.git
    ng-cordova git://github.com/tadeucaldas/angular-cordova.git
    angular-seo git://github.com/steeve/angular-seo.git
    angular-yandex-map git://github.com/tulov/angular-yandex-map.git
    angular-sham-spinner git://github.com/harinair/angular-sham-spinner.git
    angular-sweetalert git://github.com/oitozero/ngSweetAlert.git
    angular-ckeditor git://github.com/lemonde/angular-ckeditor.git
    angular-mousetrap git://github.com/khasinski/angular-mousetrap.git
    angular-google-staticmaps git://github.com/passy/angular-google-staticmaps.git
    angular-date-range-picker git://github.com/monterail/angular-date-range-picker.git
    angular-lodash-module git://github.com/kmc059000/angular-lodash-module.git
    angular-paginate-anything git://github.com/begriffs/angular-paginate-anything.git
    angular-utils-ui-breadcrumbs git://github.com/michaelbromley/angularUtils-uiBreadcrumbs.git
    revolunet-angular-carousel git://github.com/revolunet/angular-carousel.git
    angular-tablesort git://github.com/mattiash/angular-tablesort.git
    dialogs git://github.com/m-e-conroy/angular-dialog-service.git
    angular-dateparser git://github.com/dnasir/angular-dateParser.git
    angular-pageslide-directive git://github.com/dpiccone/ng-pageslide.git
    angular-draganddrop git://github.com/neoziro/angular-draganddrop
    angular-progress-arc git://github.com/mathewbyrne/angular-progress-arc
    angular-date-time-input git://github.com/dalelotts/angular-date-time-input.git
    angular-auto-validate git://github.com/jonsamwell/angular-auto-validate.git
    angular-chosen git://github.com/iiome/angular-chosen.git
    angular-feature-flags git://github.com/mjt01/angular-feature-flags.git
    angularjs-gravatardirective git://github.com/lavinjj/angularjs-gravatardirective.git
    angular-reconnecting-websocket git://github.com/adieu/angular-reconnecting-websocket.git
    angular-widget git://github.com/shahata/angular-widget.git
    angular-stepper git://github.com/revolunet/angular-stepper.git
    angular-ui-bootstrap-complete git://github.com/datapad/bower-angular-ui-bootstrap-complete.git
    angular-fallback-src git://github.com/tlvince/angular-fallback-src.git
    angular-vs-repeat git://github.com/kamilkp/angular-vs-repeat.git
    angular-localize git://github.com/blueimp/angular-localize.git
    angular-ui-router-anim-in-out git://github.com/homerjam/angular-ui-router-anim-in-out.git
    angular-truncate-original git://github.com/sparkalow/angular-truncate.git
    angular-firebase git://github.com/petebacondarwin/angular-firebase.git
    angular-notifications git://github.com/DerekRies/angular-notifications.git
    angular-hotkeys git://github.com/drahak/angular-hotkeys.git
    angular-mobile-nav git://github.com/ajoslin/angular-mobile-nav
    parse-angular-patch git://github.com/brandid/parse-angular-patch.git
    25th-angular-utils git://github.com/25th-floor/angular-utils.git
    jquery-mobile-angular-adapter git://github.com/opitzconsulting/jquery-mobile-angular-adapter.git
    angular-postman git://github.com/CWSpear/angular-postman.git
    angular-socket.io-mock git://github.com/nullivex/angular-socket.io-mock.git
    angular-treeview git://github.com/eu81273/angular.treeview.git
    angular-couch-potato git://github.com/stu-salsbury/angular-couch-potato.git
    angularjs-unstable git://github.com/euskadi31/bower-angular-unstable.git
    angular-jquery-timepicker git://github.com/Recras/angular-jquery-timepicker.git
    angular-kb git://github.com/keboola/angular-kb
    angular-django-rest-resource git://github.com/blacklocus/angular-django-rest-resource.git
    angular-off-click git://github.com/TheSharpieOne/angular-off-click.git
    angular-flowplayer git://github.com/incuna/angular-flowplayer.git
    angular-bootstrap-datepicker git://github.com/cletourneau/angular-bootstrap-datepicker.git
    angular-dropdowns git://github.com/jseppi/angular-dropdowns.git
    angular-nereid-auth git://github.com/openlabs/angular-nereid-auth.git
    angularD3 git://github.com/WealthBar/angular-d3.git
